date,mean_brightness,max_brightness,bright_pixel_ratio
2012-05-15,0.47084218409586054,0.996078431372549,0.6205291666666667
2012-06-15,0.6806322331154685,0.996078431372549,0.9151958333333333
2012-07-15,0.6183513453159041,0.996078431372549,0.8651708333333333
2012-08-15,0.6081644716775599,0.996078431372549,0.829775
2012-09-15,0.5601639161220043,0.996078431372549,0.79395
2012-10-15,0.6010717265795207,0.996078431372549,0.9051708333333334
2012-11-15,0.6354207461873637,0.996078431372549,0.882125
2012-12-15,0.5137609150326797,0.996078431372549,0.6718208333333333
2013-01-15,0.5742503376906318,0.996078431372549,0.7399125
2013-02-15,0.48288539760348587,0.996078431372549,0.6951416666666667
2013-03-15,0.4049356154684096,0.996078431372549,0.47247083333333334
2013-04-15,0.4416315849673203,0.996078431372549,0.5463375
2013-05-15,0.5079236165577342,0.996078431372549,0.6835208333333334
2013-06-15,0.62173325708061,0.996078431372549,0.8602416666666667
2013-07-15,0.4723016067538126,0.996078431372549,0.7051416666666667
2013-08-15,0.358268954248366,0.996078431372549,0.4472375
2013-09-15,0.237180871459695,0.996078431372549,0.19134166666666666
2013-10-15,0.3322849346405229,0.996078431372549,0.380725
2013-11-15,0.4522580337690632,0.996078431372549,0.5281916666666666
2013-12-15,0.6427729575163399,0.996078431372549,0.7782791666666666
2014-01-15,0.47113406862745105,0.996078431372549,0.5292125
2014-02-15,0.5671198366013072,0.996078431372549,0.7156625
2014-03-15,0.48390789215686275,0.996078431372549,0.5911791666666667
2014-04-15,0.2329892102396514,0.996078431372549,0.25037916666666665
2014-05-15,0.34426869825708056,0.996078431372549,0.3707958333333333
2014-06-15,0.36504576797385624,0.996078431372549,0.4184541666666667
2014-07-15,0.4930935893246187,0.996078431372549,0.6378416666666666
2014-08-15,0.6222094444444445,0.996078431372549,0.8814833333333333
2014-09-15,0.6661942102396514,0.996078431372549,0.936475
2014-10-15,0.5882842810457517,0.996078431372549,0.8687291666666667
2014-11-15,0.5921425326797386,0.996078431372549,0.8486875
2014-12-15,0.5386758061002178,0.996078431372549,0.7430541666666667
2015-01-15,0.5797285457516339,0.996078431372549,0.9323125
2015-02-15,0.6269830501089325,0.996078431372549,0.8818083333333333
2015-03-15,0.4657119498910675,0.996078431372549,0.6354583333333333
2015-04-15,0.4506748801742919,0.996078431372549,0.5923333333333334
2015-05-15,0.5559103376906318,0.996078431372549,0.7601291666666666
2015-06-15,0.581926922657952,0.996078431372549,0.8346708333333334
2015-07-15,0.6710177559912854,0.996078431372549,0.9581208333333333
2015-08-15,0.5696918191721133,0.996078431372549,0.819575
2015-09-15,0.5954818300653595,0.996078431372549,0.8740833333333333
2015-10-15,0.4393855119825708,0.996078431372549,0.5952833333333334
2015-11-15,0.5194980065359477,0.996078431372549,0.7266041666666667
2015-12-15,0.5783661928104575,0.996078431372549,0.859425
2016-01-15,0.5328102178649238,0.996078431372549,0.7008291666666666
2016-02-15,0.591930234204793,0.996078431372549,0.8450833333333333
2016-03-15,0.3424748093681917,0.996078431372549,0.36961666666666665
2016-04-15,0.4613600871459695,0.996078431372549,0.6148208333333334
2016-05-15,0.41367556100217867,0.996078431372549,0.5159166666666667
2016-06-15,0.271864188453159,0.996078431372549,0.2856708333333333
2016-07-15,0.19325752723311548,0.996078431372549,0.12622916666666667
2016-08-15,0.2082000871459695,0.996078431372549,0.16508333333333333
2016-09-15,0.28274130174291945,0.996078431372549,0.2839333333333333
2016-10-15,0.45085849673202616,0.996078431372549,0.5588666666666666
2016-11-15,0.5236621786492375,0.996078431372549,0.6289458333333333
2016-12-15,0.6351467647058824,0.996078431372549,0.7510041666666667
2017-01-15,0.6773362309368192,0.996078431372549,0.8102583333333333
2017-02-15,0.5987935729847494,0.996078431372549,0.7796625
2017-03-15,0.5391025163398693,0.996078431372549,0.6904208333333334
2017-04-15,0.35966035403050106,0.996078431372549,0.4203625
2017-05-15,0.34032236928104576,0.996078431372549,0.4098291666666667
2017-06-15,0.41876213507625276,0.996078431372549,0.4991875
2017-07-15,0.5650684368191721,0.996078431372549,0.8096291666666666
2017-08-15,0.7264870152505447,0.996078431372549,0.9488125
2017-09-15,0.6327266394335512,0.996078431372549,0.9646375
2017-10-15,0.5140134477124183,0.996078431372549,0.7466125
2017-11-15,0.5386740359477123,0.996078431372549,0.7948875
2017-12-15,0.5542752668845315,0.996078431372549,0.774425
2018-01-15,0.4882220043572985,0.996078431372549,0.6205208333333333
2018-02-15,0.38998208061002176,0.996078431372549,0.4462375
2018-03-15,0.5349550871459694,0.996078431372549,0.7884
2018-04-15,0.44487477668845316,0.996078431372549,0.5718708333333333
2018-05-15,0.44948674291939,0.996078431372549,0.5892875
2018-06-15,0.5982367701525054,0.996078431372549,0.8604166666666667
2018-07-15,0.6254718355119825,0.996078431372549,0.9171166666666667
2018-08-15,0.5539003703703703,0.996078431372549,0.8253791666666667
2018-09-15,0.4629941557734204,0.996078431372549,0.6800333333333334
2018-10-15,0.5031806590413943,0.996078431372549,0.7293791666666667
